IsROS,IsCybersec,IsThreat,IsMitigation,Spoofing,Tampering,Repudiation,Information Disclosure,DoS,Elevation of Privilege,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7B97E69U,conferencePaper,2022.0,"Kim, Seulbae; Kim, Taesoo",RoboFuzz: fuzzing robotic systems over robot operating system (ROS) for finding correctness bugs,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,978-1-4503-9413-0,,10.1145/3540250.3549164,https://doi.org/10.1145/3540250.3549164,"Robotic systems are becoming an integral part of human lives. Responding to the increased demands for robot productions, Robot Operating System (ROS), an open-source middleware suite for robotic development, is gaining traction by providing practical tools and libraries for quickly developing robots. In this paper, we are concerned with a relatively less-tested class of bugs in ROS and ROS-based robotic systems, called semantic correctness bugs, including the violation of specification, violation of physical laws, and cyber-physical discrepancy. These bugs often stem from the cyber-physical nature of robotic systems, in which noisy hardware components are intertwined with software components, and thus cannot be detected by existing fuzzing approaches that mostly focus on finding memory-safety bugs. We propose RoboFuzz, a feedback-driven fuzzing framework that integrates with ROS and enables testing of the correctness bugs. RoboFuzz features (1) data type-aware mutation for effectively stressing data-driven ROS systems, (2) hybrid execution for acquiring robotic states from both real-world and a simulator, capturing unforeseen cyber-physical discrepancies, (3) an oracle handler that identifies correctness bugs by checking the execution states against predefined correctness oracles, and (4) a semantic feedback engine for providing augmented guidance to the input mutator, complementing classic code coverage-based feedback, which is less effective for distributed, data-driven robots. By encoding the correctness invariants of ROS and four ROS-compatible robotic systems into specialized oracles, RoboFuzz detected 30 previously unknown bugs, of which 25 are acknowledged and six have been fixed.",2022,2026-02-25 17:23:12,2026-02-25 17:23:12,,447–458,,,,,,,ESEC/FSE 2022,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Correctness bugs; Robot Operating System 2 (ROS 2); Semantic feedback-driven fuzzing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,True,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,FZ5MZSA3,conferencePaper,2024.0,"Bai, Jia-Ju; Song, Hao-Xuan; Hu, Shi-Min",Multi-Dimensional and Message-Guided Fuzzing for Robotic Programs in Robot Operating System,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",979-8-4007-0385-0,,10.1145/3620665.3640425,https://doi.org/10.1145/3620665.3640425,"An increasing number of robotic programs are implemented based on Robot Operating System (ROS), which provides many practical tools and libraries for robot development. To improve robot reliability and security, several recent approaches apply fuzzing to ROS programs for bug detection. However, these approaches still have some main limitations, including inefficient test case generation, ineffective program feedback and weak generality/automation.In this paper, we design a new fuzzing framework named ROFER, to effectively test robotic programs in ROS for bug detection. Compared to existing ROS fuzzing approaches, ROFER has two novel techniques: (1) a dimension-level mutation method that considers the contribution of each input dimension to testing coverage, to generate efficient test cases from multiple dimensions; (2) a message-guided fuzzing approach that uses a new coverage metric named message feature, to reflect the robot's possible state transitions affected by multiple ROS nodes. We evaluate ROFER on 13 common robotic programs in ROS2, and it finds 88 real bugs, 46 of which have been confirmed by ROS developers. We compare ROFER to four state-of-the-art ROS fuzzing approaches, and it finds more bugs with higher testing coverage.",2024,2026-02-25 17:23:12,2026-02-25 17:23:12,,763–778,,,,,,,ASPLOS '24,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YF4PMRD5,journalArticle,2025.0,"Canelas, Paulo; Schmerl, Bradley; Fonseca, Alcides; Timperley, Christopher S.",ROSpec: A Domain-Specific Language for ROS-Based Robot Software,Proc. ACM Program. Lang.,,,10.1145/3763169,https://doi.org/10.1145/3763169,"Component-based robot software frameworks, such as the Robot Operating System (ROS), allow developers to quickly compose and execute systems by focusing on configuring and integrating reusable, off-the-shelf components. However, these components often lack documentation on how to configure and integrate them correctly. Even when documentation exists, its natural language specifications are not enforced, resulting in misconfigurations that lead to unpredictable and potentially dangerous robot behaviors. In this work, we introduce ROSpec, a ROS-tailored domain-specific language designed to specify and verify component configurations and their integration. ROSpec's design is grounded in ROS domain concepts and informed by a prior empirical study on misconfigurations, allowing the language to provide a usable and expressive way of specifying and detecting misconfigurations. At a high level, ROSpec verifies the correctness of argument and component configurations, ensures the correct integration of components by checking their communication properties, and checks if configurations respect the assumptions and constraints of their deployment context. We demonstrate ROSpec's ability to specify and verify components by modeling a medium-sized warehouse robot with 19 components, and by manually analyzing, categorizing, and implementing partial specifications for components from a dataset of 182 misconfiguration questions extracted from a robotics Q&amp;A platform.",2025-10-01 00:00:00,2026-02-25 17:23:12,2026-02-25 17:23:12,,,,OOPSLA2,9.0,,,,,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Robot Operating System; Domain-Specific Language; Misconfigurations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC9TIVRR,conferencePaper,2024.0,"Shen, Yuheng; Liu, Jianzhong; Xu, Yiru; Sun, Hao; Wang, Mingzhe; Guan, Nan; Shi, Heyuan; Jiang, Yu",Enhancing ROS System Fuzzing through Callback Tracing,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,979-8-4007-0612-7,,10.1145/3650212.3652111,https://doi.org/10.1145/3650212.3652111,"The Robot Operating System 2 (ROS) is the de-facto standard for robotic software development, with a wide application in diverse safety-critical domains. There are many efforts in testing that seek to deliver a more secure ROS codebase. However, existing testing methods are often inadequate to capture the complex and stateful behaviors inherent to ROS deployments, resulting in limited test- ing effectiveness. In this paper, we propose R2D2, a ROS system fuzzer that leverages ROS’s runtime states as guidance to increase fuzzing effectiveness and efficiency. Unlike traditional fuzzers, R2D2 employs a systematic instrumentation strategy that captures the system’s runtime behaviors and profiles the current system state in real-time. This approach provides a more in-depth understanding of system behaviors, thereby facilitating a more insightful explo- ration of ROS’s extensive state space. For evaluation, we applied it to four well-known ROS applications. Our evaluation shows that R2D2 achieves an improvement of 3.91× and 2.56× in code coverage compared to state-of-the-art ROS fuzzers, including Ros2Fuzz and RoboFuzz, while also uncovering 39 previously unknown vulnera- bilities, with 6 fixed in both ROS runtime and ROS applications. For its runtime overhead, R2D2 maintains an average execution and memory usage overhead with 10.4% and 1.0% in respect, making R2D2 effective in ROS testing.",2024,2026-02-25 17:23:12,2026-02-25 17:23:12,,76–87,,,,,,,ISSTA 2024,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Bug Detection; Fuzz Testing; ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,True,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,G2S22U3R,conferencePaper,2022.0,"Deng, Gelei; Xu, Guowen; Zhou, Yuan; Zhang, Tianwei; Liu, Yang",On the (In)Security of Secure ROS2,Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security,978-1-4503-9450-5,,10.1145/3548606.3560681,https://doi.org/10.1145/3548606.3560681,"Robot Operating System (ROS) has been the mainstream platform for research and development of robotic applications. This platform is well-known for lacking security features and efficiency for distributed robotic computations. To address these issues, ROS2 is recently developed by utilizing the Data Distribution Service (DDS) to provide security support. Integrated with DDS, ROS2 is expected to establish the basis for trustworthy robotic ecosystems. In this paper, we systematically study the security of the current ROS2 implementation from three perspectives. By abstracting the key functions from the ROS2 native implementation, we first formally describe the ROS2 system communication workflow and model it using a concurrent modeling language. Second, we verify the model with some key security properties through a model checker, and successfully identify four security vulnerabilities in ROS2's native security module: Secure ROS2 (SROS2). To validate these flaws, we set up simulation and physical multi-robot testbeds running different real-world workloads developed by Open Robotics and Amazon AWS Robotics. We demonstrate that an adversary can exploit these vulnerabilities to totally invalidate the security protection offered by SROS2, and obtain unauthorized permissions or steal critical information. Third, to enhance the security of ROS2, we propose a general defense solution based on the private broadcast encryption scheme. We run different workloads and benchmarks to show the efficiency and security of our defense. Our findings have been acknowledge by ROS2 official, and the suggested mitigation has been implemented in the latest SROS2 version.",2022,2026-02-25 17:23:12,2026-02-25 17:23:12,,739–753,,,,,,,CCS '22,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,protocol vulnerability; robot operating system; verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BTMF8THK,conferencePaper,2024.0,"Canelas, Paulo; Schmerl, Bradley; Fonseca, Alcides; Timperley, Christopher S.",Understanding Misconfigurations in ROS: An Empirical Study and Current Approaches,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,979-8-4007-0612-7,,10.1145/3650212.3680350,https://doi.org/10.1145/3650212.3680350,"The Robot Operating System (ROS) is a popular framework and ecosystem that allows developers to build robot software systems from reusable, off-the-shelf components. Systems are often built by customizing and connecting components via configuration files. While reusable components theoretically allow rapid prototyping, ensuring proper configuration and connection is challenging, as evidenced by numerous questions on developer forums. Developers must abide to the often unchecked and unstated assumptions of individual components. Failure to do so can result in misconfigurations that are only discovered during field deployment, at which point errors may lead to unpredictable and dangerous behavior. Despite misconfigurations having been studied in the broader context of software engineering, robotics software (and ROS in particular) poses domain-specific challenges with potentially disastrous consequences. To understand and improve the reliability of ROS projects, it is critical to identify the types of misconfigurations faced by developers. To that end, we perform a study of ROS Answers, a Q&amp;A platform, to identify and categorize misconfigurations that occur during ROS development. We then conduct a literature review to assess the coverage of these misconfigurations by existing detection techniques. In total, we find 12 high-level categories and 50 sub-categories of misconfigurations. Of these categories, 27 are not covered by existing techniques. To conclude, we discuss how to tackle those misconfigurations in future work.",2024,2026-02-25 17:23:12,2026-02-25 17:23:12,,1161–1173,,,,,,,ISSTA 2024,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,ROS; Misconfigurations; Empirical Study; Literature Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5MLXNQ4Y,conferencePaper,2025.0,"R, Mahaveerakannan; R, Balamanigandan; S, Saraswathi; Goyal, Dinesh; Dadheech, Pankaj",ROSNet: Implementing Blockchain Technology to Connect Unmanned Aerial Vehicles and Ground Nodes in Post Disaster Management Frameworks,Proceedings of the 6th International Conference on Information Management &amp; Machine Intelligence,979-8-4007-1122-0,,10.1145/3745812.3745868,https://doi.org/10.1145/3745812.3745868,"This program integrates the use of UAVs and terrestrial nodes to develop a safe and effective communication system which can be utilized for post-disaster management. Furthermore, blockchain technology will also assist in collaboration and security. Communication systems are frequently demolished by natural disasters making it more difficult to provide aid. While UAVs and wireless mesh networks (WMNs) offer considerable support towards resolving them, the greater challenge of ensuring speedy, secure, and discreet communication among multiple organizations still exists. The proposed approach provides supporting ad hoc networks to accommodate large-scale disaster response projects under the name ROSNet. This network will have a place for blockchain technology, terrestrial nodes and UAVs. Alongside a consortium blockchain architecture, smart contracts and cryptographic techniques enable the system to be tailored toward safe collaboration between multiple jurisdictions making it possible Interchangeable communication and wireless mesh networks in control of a Robot Operating System (ROS). At the base station, user interfaces for situational awareness and node optimization are provided alongside a graphical user interface (GUI) while delegated proof-of-stake increases pragmatic Byzantine fault tolerance ratios (DPoS-PBFT) consensus protocol for scalability and network fault tolerance. The use of semi-autonomous ground nodes and UAVs helps increase the connectivity of the system and automates the response operations.",2025,2026-02-25 17:23:12,2026-02-25 17:23:12,,,,,,,,,ICIMMI '24,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Blockchain Technology; Ad Hoc Networks; Cybersecurity; Node Optimization; Post-Disaster Management; Robot Operating System (ROS); Secure Communication; UAV Coordination; Wireless Mesh Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S4LJ7N5X,journalArticle,2024.0,"Ma, Lili; Rosa, Christian; Li, Xiaohai; Wang, Yu; Mendoza, Benito; Zhang, Andy S.",Programming and Control of Physical Autonomous Robots via ROS 2,J. Comput. Sci. Coll.,,1937-4771,,,"This paper describes two exemplary projects on physical ROS-compatible robots (i.e., Turtlebot3 Burger and Waffle PI) for an undergraduate robotics course, aiming to foster students' problem-solving skills through project-based learning. The context of the study is a senior-level technical elective course in the Department of Computer Engineering Technology at a primarily undergraduate teaching institution. Earlier courses in the CET curriculum have prepared students with programming skills in several commonly used languages, including Python, C/C++, Java, and MATLAB. Students' proficiency in programming and hands-on skills make it possible to implement advanced robotic control algorithms in this robotics course, which has a 3-hour companion lab session each week.The Robot Operating System (ROS) is an open-source framework that helps developers build and reuse code between robotic applications. Though mainly used as a research platform, instructors in higher education take action in bringing ROS and its recent release of ROS 2 into their classrooms. Our earlier work controlled a simulated robot via ROS in a virtual environment on the MATLAB-ROS-Gazebo platform. This paper describes its counterparts by utilizing physical ROS-compatible autonomous ground robots on the MATLAB-ROS2-Turtlebot3 platform.",2024-10-01 00:00:00,2026-02-25 17:23:12,2026-02-25 17:23:12,,294–308,,3,40.0,,,,,,,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QH248R8M,conferencePaper,2017.0,"Jeong, Se-Yeon; Choi, I-Ju; Kim, Yeong-Jin; Shin, Yong-Min; Han, Jeong-Hun; Jung, Goo-Hong; Kim, Kyoung-Gon",A Study on ROS Vulnerabilities and Countermeasure,Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,978-1-4503-4885-0,,10.1145/3029798.3038437,https://doi.org/10.1145/3029798.3038437,"ROS (Robot Operating System) is an open source software framework used for robot control. In this paper, we analyzed and tested 4 vulnerabilities related to ROS authentication scheme insufficiency, ROS Bag, communication vulnerability, and service hijacking. Then, We devised countermeasures against them.",2017,2026-02-25 17:23:12,2026-02-25 17:23:12,,147–148,,,,,,,HRI '17,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,cyber-physical system; robot; ros; security; vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DGDY6N85,conferencePaper,2024.0,"Dürschmid, Tobias; Timperley, Christopher Steven; Garlan, David; Le Goues, Claire",ROSInfer: Statically Inferring Behavioral Component Models for ROS-based Robotics Systems,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,979-8-4007-0217-4,,10.1145/3597503.3639206,https://doi.org/10.1145/3597503.3639206,"Robotics systems are complex, safety-critical systems that can consist of hundreds of software components that interact with each other dynamically during run time. Software components of robotics systems often exhibit reactive, periodic, and state-dependent behavior. Incorrect component composition can lead to unexpected behavior, such as components passively waiting for initiation messages that never arrive. Model-based software analysis is a common technique to identify incorrect behavioral composition by checking desired properties of given behavioral models that are based on component state machines. However, writing state machine models for hundreds of software components manually is a labor-intensive process. This motivates work on automated model inference. In this paper, we present an approach to infer behavioral models for systems based on the Robot Operating System (ROS) using static analysis by exploiting assumptions about the usage of the ROS API and ecosystem. Our approach is based on searching for common behavioral patterns that ROS developers use for implementing reactive, periodic, and state-dependent behavior using the ROS framework API. We evaluate our approach and our tool ROSInfer on five complex real-world ROS systems with a total of 534 components. For this purpose we manually created 155 models of components from the source code to be used as a ground truth and available data set for other researchers. ROSInfer can infer causal triggers for 87% of component architectural behaviors in the 534 components.",2024,2026-02-25 17:23:12,2026-02-25 17:23:12,,,,,,,,,ICSE '24,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZL6KKRBL,conferencePaper,2018.0,"Narayanan, Vedanth; Bobba, Rakesh B.",Learning Based Anomaly Detection for Industrial Arm Applications,Proceedings of the 2018 Workshop on Cyber-Physical Systems Security and PrivaCy,978-1-4503-5992-4,,10.1145/3264888.3264894,https://doi.org/10.1145/3264888.3264894,"Smart Manufacturing (SM) is envisioned to make manufacturing processes more efficient through automation and integration of networked information systems. Robotic arms are integral to this vision. However the benefits of SM, enabled by automation and networking, also come with cyber risks. In this work, we propose an anomaly detection framework for robotic arms in a manufacturing pipeline and integrate it into Robot Operating System (ROS), a middleware framework whose variants are being considered for deployment in industrial environments for flexible automation. In particular, we explore whether the repetitive behavior of an industrial arm can be leveraged to detect anomalous behaviour that may indicate an intrusion. Based on a learned model, we classify a robot's actions as anomalous or benign. We introduce the notion of a 'tolerance envelope' to train a supervised learning model. Our empirical evaluation shows that anomalies that take the robot out of pre-determined tolerance levels can be detected with high accuracy.",2018,2026-02-25 17:23:12,2026-02-25 17:23:12,,13–23,,,,,,,CPS-SPC '18,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,robot operating system; robotics; anomaly detection; smart manufacturing; tolerance envelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,True,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,SIRC8YR4,conferencePaper,2022.0,"Luo, Yunpeng; Wan, Ziwen; Chen, Qi Alfred",Poster: Towards Complete Computation Graph Generation for Security Assessment of ROS Applications,Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security,978-1-4503-9450-5,,10.1145/3548606.3563540,https://doi.org/10.1145/3548606.3563540,"Robot Operating System (ROS) is a popular middleware suite providing a set of libraries and tools to help with building robot applications. The ROS community makes it possible for developers to compose their own robot applications by simply integrating open-sourced software of different functionalities as standalone processes (ROS nodes) in their own application. These processes communicate with each other through the infrastructure provided by ROS, forming a graph of nodes called computation graph.However, adopting third-party software introduces the possibility of supply-chain attacks. By interacting with other nodes, the third-party ROS nodes seeming to be the most harmless can violate users' privacy, launch denial of service attacks, and even cause danger to human lives, due to the cyber-physical nature of robot applications. To allow effective security assessment of robot applications, we are the first to propose to explore a hybrid program analysis-based method to extract these interactions, i.e. the computation graph, from source code and identify the potentially malicious nodes within the graph.",2022,2026-02-25 17:23:12,2026-02-25 17:23:12,,3411–3413,,,,,,,CCS '22,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,cyber-physical system security; program analysis; ros computation graph; supply chain attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KL5H8ESZ,journalArticle,2025.0,"Haskard, Adam; Herath, Damith","Secure Robotics: Navigating Challenges at the Nexus of Safety, Trust, and Cybersecurity in Cyber-Physical Systems",ACM Comput. Surv.,,0360-0300,10.1145/3723050,https://doi.org/10.1145/3723050,"The growing pervasiveness of robotic and embodied artificial intelligence systems in daily life and within cyber-physical environments highlights a complex web of challenges at the intersection of robotic safety, human-to-robot trust, and cybersecurity. This article explores these challenges by emphasising the crucial role of security in establishing and maintaining trust between humans and robots, which is integral to successfully adopting and operating these systems in human environments. Safety considerations include mitigating the risks of physical harm and environmental damage due to robotic malfunctions or cyberattacks, particularly in autonomous robots requiring high built-in safety measures. From a cybersecurity perspective, these systems face unique challenges due to their complex, interconnected software and hardware components that necessitate robust protection against data breaches to ensure secure data communication. Additionally, the dynamic interaction of these systems with the physical environment adds a layer of complexity, which makes the safety, security, and reliability of these interactions a vital component of the overall security strategy. This article reviews these areas within the cyber-physical systems paradigm by focusing on engineering fail-safe mechanisms, the importance of trust and ethical responsibility in human-robot interactions, and the need for resilient cybersecurity measures. At this nexus, a table of crossover challenges illustrates the intricacy of integrating safety, trust, and security in robotic systems. This article introduces “secure robotics” as a new paradigm to address these collective challenges with a novel model to provide a structured methodology for evaluating and enhancing robotic system performance that symbolises the convergence of theoretical constructs with empirical analysis. By defining secure robotics, this article establishes a framework for advancing robotics in the cyber-physical era in alignment with current technological trends while anticipating future developments. This framework positions secure robotics as a key contributor to the evolution of cyber-physical systems.",2025-04-01 00:00:00,2026-02-25 17:23:12,2026-02-25 17:23:12,,,,9,57.0,,,,,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,human-robot interaction; cybersecurity; conceptual model; Cyber-physical systems; robotic system safety; secure robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
