owner,repo,repository,type,number,title,html_url
ament,ament_cmake,ament/ament_cmake,pull_request,594.0,Patch 1,https://github.com/ament/ament_cmake/pull/594
ament,ament_cmake,ament/ament_cmake,pull_request,549.0,[Backport]Fix patch file dependencies in ament_cmake_vendor_package (#520),https://github.com/ament/ament_cmake/pull/549
ament,ament_cmake,ament/ament_cmake,pull_request,548.0,[Backport]Fix patch file dependencies in ament_cmake_vendor_package (#520),https://github.com/ament/ament_cmake/pull/548
ament,ament_cmake,ament/ament_cmake,pull_request,520.0,Fix patch file dependencies in ament_cmake_vendor_package,https://github.com/ament/ament_cmake/pull/520
ament,ament_cmake,ament/ament_cmake,pull_request,454.0,Add support for specifying a patch directory in ament_vendor (backport #449),https://github.com/ament/ament_cmake/pull/454
ament,ament_cmake,ament/ament_cmake,pull_request,449.0,Add support for specifying a patch directory in ament_vendor,https://github.com/ament/ament_cmake/pull/449
ament,ament_cmake,ament/ament_cmake,pull_request,147.0,Fast-forward bouncy to catch up with master for patch 1 release,https://github.com/ament/ament_cmake/pull/147
ament,ament_cmake,ament/ament_cmake,issue,350.0,Symlinking on Windows needs privilege,https://github.com/ament/ament_cmake/issues/350
ament,ament_index,ament/ament_index,pull_request,57.0,QD Security Vulnerability Declaration: REP 2006,https://github.com/ament/ament_index/pull/57
ament,ament_package,ament/ament_package,pull_request,81.0,backport 0.5.2 to bouncy for patch release,https://github.com/ament/ament_package/pull/81
ament,ament_package,ament/ament_package,issue,109.0,Eloquent patch release,https://github.com/ament/ament_package/issues/109
ament,google_benchmark_vendor,ament/google_benchmark_vendor,pull_request,9.0,upgrade google benchmark from v1.5.1 to v1.5.2 to include QNX patch,https://github.com/ament/google_benchmark_vendor/pull/9
ament,google_benchmark_vendor,ament/google_benchmark_vendor,issue,6.0,patch executable not found when cross compiling for QNX,https://github.com/ament/google_benchmark_vendor/issues/6
ament,google_benchmark_vendor,ament/google_benchmark_vendor,issue,7.0,version 1.5.1 does not include QNX patch,https://github.com/ament/google_benchmark_vendor/issues/7
ament,uncrustify_vendor,ament/uncrustify_vendor,pull_request,15.0,Switch to applying patch with git apply.,https://github.com/ament/uncrustify_vendor/pull/15
ament,uncrustify_vendor,ament/uncrustify_vendor,pull_request,7.0,Switch to CMake Patch module,https://github.com/ament/uncrustify_vendor/pull/7
ament,uncrustify_vendor,ament/uncrustify_vendor,pull_request,6.0,Use git apply Instead of Patch,https://github.com/ament/uncrustify_vendor/pull/6
ament,uncrustify_vendor,ament/uncrustify_vendor,issue,10.0,patch executable not found when cross compiling for QNX,https://github.com/ament/uncrustify_vendor/issues/10
ament,uncrustify_vendor,ament/uncrustify_vendor,issue,11.0,uncrustify has been patched for QNX and version 0.68 does not include patch,https://github.com/ament/uncrustify_vendor/issues/11
ament,uncrustify_vendor,ament/uncrustify_vendor,issue,17.0,Patch does not apply on rebuild,https://github.com/ament/uncrustify_vendor/issues/17
ANYbotics,grid_map,ANYbotics/grid_map,pull_request,530.0,Fix/memory leak,https://github.com/ANYbotics/grid_map/pull/530
ANYbotics,grid_map,ANYbotics/grid_map,pull_request,529.0,grid_map_sdf: fix planar SDF memory leak,https://github.com/ANYbotics/grid_map/pull/529
ANYbotics,grid_map,ANYbotics/grid_map,issue,381.0,Potential vulnerability: topic and service names from ROS parameters,https://github.com/ANYbotics/grid_map/issues/381
AprilRobotics,apriltag,AprilRobotics/apriltag,pull_request,195.0,Fixed a memory leak in matd_svd_tall,https://github.com/AprilRobotics/apriltag/pull/195
AprilRobotics,apriltag,AprilRobotics/apriltag,pull_request,40.0,fix memory leak,https://github.com/AprilRobotics/apriltag/pull/40
AprilRobotics,apriltag,AprilRobotics/apriltag,pull_request,8.0,Tiny memory leak in tag families implementation,https://github.com/AprilRobotics/apriltag/pull/8
AprilRobotics,apriltag,AprilRobotics/apriltag,issue,55.0,memory leak using estimate_tag_pose,https://github.com/AprilRobotics/apriltag/issues/55
AprilRobotics,apriltag,AprilRobotics/apriltag,issue,70.0,race condition in workpool,https://github.com/AprilRobotics/apriltag/issues/70
