IsROS,IsCybersecurity,IsThreat,IsMitigation,Spoofing,Tampering,Repudiation,Information Disclosure,DoS,Elevation  of Privilege,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
True,True,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,ROSploit: Cybersecurity Tool for ROS,S. Rivera; S. Lagraa; R. State,"SnT, University of Luxembourg; SnT, University of Luxembourg; SnT, University of Luxembourg",2019 Third IEEE International Conference on Robotic Computing (IRC),2019-03-28,2019.0,,,415.0,416.0,"Robotic Operating System(ROS) security research is currently in a preliminary state, with limited research in tools or models. Considering the trend of digitization of robotic systems, this lack of foundational knowledge increases the potential threat posed by security vulnerabilities in ROS. In this article, we present a new tool to assist further security research in ROS, ROSploit. ROSploit is a modular two-pronged offensive tool covering both reconnaissance and exploitation of ROS systems, designed to assist researchers in testing exploits for ROS.",,978-1-5386-9245-5,10.1109/IRC.2019.00077,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8675686,"Robotics, ROS, Security, Threat Model, Cybersecurity",Tools;Robots;Reconnaissance;Operating systems;Biological system modeling;Analytical models,,21.0,,8.0,IEEE,2019-03-28,25-27 Feb. 2019,25-27 Feb. 2019,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Intelligent Attack Detection in ROS-based Systems,H. Ç. Zaim; E. N. Yolaçan; U. Yavanoğlu,"Computer Engineering, Eskişehir Osmangazi University, Eskişehir, Turkey; Computer Engineering, Eskişehir Osmangazi University, Eskişehir, Turkey; Computer Engineering, Gazi University, Ankara, Turkey",2023 IEEE International Conference on Big Data (BigData),2024-01-22,2023.0,,,5946.0,5950.0,"Robotic systems, which were initially intended only for industrial work, have become a part of our daily lives in recent years. ROS is a popular middleware for developing applications in robotic systems. The security of ROS-based systems has gained importance with the expansion of robotic system usage. To enhance security, machine learning algorithms play an important role in robotic systems, especially in attack detection. This article provides an overview of the security of robotics by examining the machine learning based detection methods of cyber-attacks against ROS. We start by presenting security issues with a brief review of attack vectors in ROS. Next, we discuss the machine learning based attack detection approaches. Finally, we conclude by reviewing studies in the literature that use machine learning algorithms on attack detection in ROS. This survey aims to investigate the most popular and effective techniques applied to detect cyber-attacks, focusing on highlighting the latest advances in the field of machine learning in ROS attack detection. Our study will raise awareness among researchers in robotic system security and encourage researchers to upgrade attack detection in ROS-based systems.",,979-8-3503-2445-7,10.1109/BigData59044.2023.10386583,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386583,Robotic Systems;Robot Operating System (ROS);Attack Detection;Machine Learning;Intelligent Detection,Surveys;Machine learning algorithms;Service robots;Operating systems;Machine learning;Robot sensing systems;Robustness,,2.0,,26.0,IEEE,2024-01-22,15-18 Dec. 2023,15-18 Dec. 2023,IEEE,IEEE Conferences
True,True,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,OperateLLM: Integrating Robot Operating System (ROS) Tools in Large Language Models,A. Raja; A. Bhethanabotla,"West Valley College, San Jose, United States; West Valley College, San Jose, United States",2024 IEEE 1st International Conference on Communication Engineering and Emerging Technologies (ICoCET),2024-10-30,2024.0,,,1.0,4.0,"Rapid advancements in the field of large language models (LLMs) have demonstrated extensive use in various domains, including integration with domain-specific tools, but their application in assisting the development of robotic systems is still underexplored. We present OperateLLM, an integration of ROS 2 (Robot Operating System 2) tools with LLMs, that is designed to enhance the convenience and speed of robotic development. We leverage DeepSeek Coder v2 as the core LLM and uses the Python API for ROS 2, rclpy. OperateLLM has shown the ability to create fundamental ROS 2 components such as Nodes and Publishers and perform other basic tasks, as well as perform more complex tasks with the ROS 2 API. By integrating LLMs with specialized tools for the ROS, OperateLLM bridges the gap between high-level language understanding shown by LLMs and low-level robotic control often required by humans. Although OperateLLM requires a human operator to control it, the system increases the ease of using the ROS 2 API significantly, facilitating more efficient and intuitive interactions. Evaluation of OperateLLM through a series of robotics tasks that require the use of ROS 2 demonstrates its proficiency in streamlining operations that usually require human intervention to a significant extent. This integration not only enhances advanced robotics research but also makes robotic development more accessible by lowering the technical barrier for non-experts, helping to promote innovation and practical advancements in robotics. Our model outperforms GPT-4 on a number of measurements, including the mean scores experts assigned to reasoning provided by both models and a 90% accuracy rate versus GPT-4's 60% accuracy rate on a set of advanced prompts $(n=10)$. We also significantly focus on the cybersecurity implications for such a model, including the potential for such a system to be attacked via adversarial prompting and how data can potentially be leaked from sensitive robotic systems. We propose a number of solutions to this, including potential levels of access control in organizations. In order to combat adversarial prompts, we propose the potential use of self-reminders, which have been shown to be effective in contending with adversarial prompting.",,979-8-3315-0414-4,10.1109/ICoCET63343.2024.10730448,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10730448,ROS;robotics;llms;integration,Technological innovation;Accuracy;Operating systems;Large language models;Organizations;Robot sensing systems;Real-time systems;High level languages;Robots;Optimization,,3.0,,23.0,IEEE,2024-10-30,2-3 Sept. 2024,2-3 Sept. 2024,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,An Overview of Robot Operating System Forensics,M. M. Basheer; A. Varol,"Department of Mechatronics Engineering, College of Technology, Firat University, Elazığ, Turkey; Department of Software Engineering, Firat University, Elazığ, Turkey",2019 1st International Informatics and Software Engineering Conference (UBMYK),2020-01-23,2019.0,,,1.0,4.0,"Autonomous technologies have been rapidly replacing the traditional manual intervention nearly in every aspect of our life. These technologies essentially require robots to carry out their automated processes. Nowadays, with the emergence of industry 4.0, robots are increasingly being remote-controlled via client-server connection, which creates uncommon vulnerabilities that allow attackers to target those robots. The development of an open source operational environment for robots, known as Robot Operating System (ROS) has come as a response to these demands. Security and privacy are crucial for the use of ROS as the chance of a compromise may lead to devastating ramifications. In this paper, an overview of ROS and the attacks targeting it are detailed and discussed. Followed by a review of the ROS security and digital investigation studies.",,978-1-7281-3992-0,10.1109/UBMYK48245.2019.8965649,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8965649,Cyber-security;digital forensics;robot operating system;vulnerabilities,Security;Service robots;Operating systems;Forensics;Industries;Robot sensing systems,,11.0,,18.0,IEEE,2020-01-23,6-7 Nov. 2019,6-7 Nov. 2019,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Support Remote Attestation for Decentralized Robot Operating System (ROS) using Trusted Execution Environment,Q. Wang; B. Lee; Y. Qiao,"Software Research Institute (SRI), Technological University of the Shannon: Midlands Midwest Athlone, Co. Westmeath, Ireland; Software Research Institute (SRI), Technological University of the Shannon: Midlands Midwest Athlone, Co. Westmeath, Ireland; Software Research Institute (SRI), Technological University of the Shannon: Midlands Midwest Athlone, Co. Westmeath, Ireland",2024 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),2024-08-21,2024.0,,,693.0,695.0,"The surge in autonomous robot deployments across diverse domains is undeniable. The Robot Operating System (ROS) stands out as the prevailing standard for robotics systems, with ROS 2 emerging as its revitalized version. ROS 2 uses Data Distribution Service (DDS) as its communication middleware, aligning itself with the blossom of decentralized and distributed smart systems. However, the security of ROS 2 is dependent on the implementation of the DDS security plugins, which provides domain-level access protection under the assumption of trust in local machines. The problem arises when a malicious ROS 2 node, compromised by malware, can disseminate false information or pilfer sensitive data from other legitimate nodes within the system. To address this vulnerability, this paper harnesses the Trusted Execution Environment (TEE) to build a trustworthy ROS 2 platform with remote attestation. The proposed solution not only verifies the identity but also ensures the integrity of ROS 2 nodes before they provide/consume data and/or collaborate with each other. Our design establishes trust between communication parties and improves ROS 2 security by incorporating the hardware level protection.",2832-8906,979-8-3503-1674-2,10.1109/ICBC59979.2024.10634382,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10634382,Remote Attestation;Robot Operating System;Data Distribution Service;Trusted Execution Environment,Service robots;Operating systems;Surge protection;Medical services;Security;Protection;Task analysis,,,,14.0,IEEE,2024-08-21,27-31 May 2024,27-31 May 2024,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,A Digital Forensic Framework for Investigating Robot Operating System (ROS) Environments,I. I. Abeykoon; D. Li; K. Hussein,"Faculty of Creative Arts, Technologies and Science, School of Computer Science and Technology, University of Bedfordshire, Luton, UK; Faculty of CATS, Institute for Research in Applicable Computing, School of Computer Science and Technology, University of Bedfordshire, Luton, UK; School of Computer Science and Technology, University of Bedfordshire, Luton, UK",2025 IEEE International Conference on High Performance Computing and Communications (HPCC),2025-10-31,2025.0,,,1237.0,1242.0,"Robotic systems in delicate fields like manufacturing, healthcare, and defence have created difficult forensic and security issues. The popular robotics software known as Robot Operating System (ROS) is modular, decentralised, and devoid of built-in security features. Because traditional digital forensic techniques are designed for centralised computing systems, these features make their application more difficult. A new forensic framework designed specifically for ROS-based systems, the Robot Operating System Forensic Framework (ROSFF), is presented here. In contrast to conventional forensic models, ROSFF resolves the odd ROS structure by combining procedures and tools that facilitate decentralised logging, distributed evidence collection, and real-time monitoring. Because it integrates the three areas of investigation: technical, organisational, and legal. The forensic process becomes scalable, methodical, and also morally and legally sound. With the help of anomaly detection and event tracing, ROSFF is constructed using four fundamental steps: data acquisition, analysis, examination, and reporting. When compared to other forensic models, ROSFF is more adaptable, provides comprehensive evidence, and can be used with robotic systems. The results demonstrate that ROSFF is a useful tool for conducting efficient forensic investigations and safeguarding ROS environments. This work lays the groundwork for upcoming digital forensic operations in autonomous systems and fills a major knowledge gap in robotic cybersecurity.",,979-8-3315-6874-0,10.1109/HPCC67675.2025.00176,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11207433,digital forensics;ROS forensic framework (ROSFF);cybersecurity in robotics,Operating systems;Linux;Digital forensics;Medical services;Software;Real-time systems;Topology;Manufacturing;Computer security;Robots,,,,15.0,IEEE,2025-10-31,13-15 Aug. 2025,13-15 Aug. 2025,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,A Forensic Investigation of the Robot Operating System,I. Abeykoon; X. Feng,"Department of Computer Science and Technology, University of Bedfordshire, Luton, UK; Department of Computer Science and Technology, University of Bedfordshire, Luton, UK","2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",2018-02-01,2017.0,,,851.0,857.0,"The Robot Operating System (ROS) is a framework that is mostly used in industrial applications such as automotive, healthcare and manufacturing and it is not immune from potential future hacking. By carrying out various types of cyber-attacks, hackers can disrupt the normal operation of a robot. It is easy to get control of communication between a robot and a human due to the open communication network after carrying out malicious attacks to jam the network. As a result, hackers can change commands which are sent by an operator to the robot, making usual activities impossible. For instance, in a case of ROS hacking, man-in-the-middle attacks, Trojans, backdoor attacks, and so on, can change the behaviour of robots to something completely different than expected.Therefore, forensic analysts require a specific method to forensically investigate ROS. This is a new area in the computer forensics field. Therefore, it is proposed to create an analytical framework to facilitate the forensic investigation of the Robot Operating System and methodologies and standards for acquiring related digital evidence using forensic tools. This study addresses a formalized and structured methodology that would assist the forensic investigation approach.This research will help to enhance the gathering, identification and preservation of evidence related to forensics investigations of the Robot Operating System. The forensic analysts could adapt the examination procedure of hacked ROS with a focused, crime-specific, forensics framework.",,978-1-5386-3066-2,10.1109/iThings-GreenCom-CPSCom-SmartData.2017.131,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8276850,Robot Operating System;Forensics Tool Kit;Computer Emergency Response Team;Association of Chief Police Officers,Robots;Digital forensics;Operating systems;Tools;Law enforcement;Computer crime,,14.0,,21.0,IEEE,2018-02-01,21-23 June 2017,21-23 June 2017,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,Multi-Robot Security System based on Robot Operating System and Hybridized Blockchain Model,R. H. Kumar; G. M. Subramanian,"R V College of Engineering, Bangalore, India; R V College of Engineering, Bangalore, India",2022 IEEE 3rd Global Conference for Advancement in Technology (GCAT),2022-12-12,2022.0,,,1.0,6.0,"Multi robot systems are defined as a collection of two or more robots that are capable of working autonomously while coordinating with each other. Three challenges emerge while designing any multi robot system. The robots have to coordinate their path planning or trajectory planning in order to avoid collision during the course of navigation, while collaborating tasks with other robots to achieve a specific end goal for the system. The other challenge, which is the focus of this paper, is the security of the entire multi robot system. Since robots have to coordinate with each other, any one of them being malicious due to any kind of security threat, can lead to a chain reaction that may compromise the entire system. Such security threats can be fatal if not dealt with immediately. This paper proposes the use of a Hybridized Blockchain Model (HBM) to identify such security threats and take necessary actions in real time so that the system does not encounter any catastrophic failure. The proposed security architecture uses ROS (Robot operating system) to decentralize the information collected by robot clients and HBM to monitor the clients and take necessary real time actions.",,978-1-6654-6855-8,10.1109/GCAT55367.2022.9971918,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9971918,Multi robot system;Hybridized Blockchain Model;Decentralization;ROS,Protocols;Trajectory planning;Robot kinematics;Operating systems;Real-time systems;Blockchains;Security,,4.0,,20.0,IEEE,2022-12-12,7-9 Oct. 2022,7-9 Oct. 2022,IEEE,IEEE Conferences
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vulnerability Assessment Of Vehicle To Infrastructure Communication: A Case Study Of Unmanned Ground Vehicle,A. Abdullahi; T. Dargahi; M. Babaie,"School of Science, Engineering, and Environment, University of Salford, Manchester, United Kingdom; School of Science, Engineering, and Environment, University of Salford, Manchester, United Kingdom; School of Science, Engineering, and Environment, University of Salford, Manchester, United Kingdom",2020 IEEE Globecom Workshops (GC Wkshps,2021-03-05,2020.0,,,1.0,6.0,"In recent years, increase in the development of connected and autonomous vehicles (CAVs) has sparked cyber security concerns. In particular, vehicle-to-everything (V2X) communication, which is essential for CAV and the transportation system, has introduced a new threat landscape and created several attack surfaces for malicious agents. The available literature on cyber-attacks mostly concentrate on sophisticated tools and equipment in performing malicious activities. However, ignorance of simple attack and defense methods, sometimes as simple as defining proper access policies, is among top reasons for cyber-attacks. This paper aims to emphasize on the need for practicing security-by-design and increase awareness of manufacturers and developers to adopt minimum security measures. A generic network communication vulnerability assessment method is adopted to perform navigational attack through GPS falsification on connected vehicles, using an Unmanned Ground Vehicles (UGV) as a case study. This paper underlines the Wi-Fi security threats if used for V2X communication without proper access control measures in place. The experimental analysis demonstrates exploitation of a vulnerability which allows full control and backend navigation manipulation with respect to the UGV movement.",,978-1-7281-7307-8,10.1109/GCWkshps50303.2020.9367408,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9367408,Connected and Autonomous Vehicle;Robot Operating System (ROS);Vulnerability Assessment;V2X communication;GPS Attack,Navigation;Operating systems;Transportation;Tools;Land vehicles;Vehicle-to-everything;Wireless fidelity,,6.0,,35.0,IEEE,2021-03-05,7-11 Dec. 2020,7-11 Dec. 2020,IEEE,IEEE Conferences
True,True,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Pro-CHASER: A Prototype Testbed for Car Hacking Attack Simulation and Evaluation Using Raspberry Pi to Investigate Threat Landscape,J. Vanajakshi; A. Renuka; V. Kamath; N. D. Adesh,"Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, Karnataka, India; Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, Karnataka, India; Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, Karnataka, India; Department of Information and Communication Technology, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, Karnataka, India",IEEE Access,2025-03-03,2025.0,13.0,,36401.0,36420.0,"Recent advancements in transportation technology have necessitated a seamless integration of sensors, cameras, and communication protocols for autonomous vehicles. Ensuring cybersecurity for these vehicles has become critical, as they are vulnerable to attacks that could jeopardize safety and performance. While machine learning and deep learning models could be developed to address cybersecurity issues in autonomous vehicles, developing these models requires large datasets for training. Obtaining real-world data from actual vehicles also presents significant challenges. To address these limitations, a low-cost Pro-CHASER testbed— Prototype testbed for Car Hacking Attack Simulation and Evaluation using Raspberry Pi—was developed using a Controller Area Network (CAN) bus network with CAN-HAT (Hardware Attached on Top). This testbed utilized CAN to simulate autonomous vehicle functions and explore attack vectors. Microsoft Threat Modelling Tool, and MITRE ATT&CK framework were used to identify the vulnerabilities in the context of autonomous vehicles. The identified vulnerabilities were exploited using the designed testbed by employing many security testing tools to simulate CAN message injection attacks, USB exploits, and ROS-based fake image publisher attack. Through these attack simulations, the testbed functionalities were successfully compromised. The results demonstrated that message injection into the CAN bus manipulated sensor data that led to erroneous decision-making. Unauthorized access to the physical access points led to the injection of a malicious payload via a USB port. The computer vision system’s response to the false data ultimately compromised the vehicle’s perception and control. The findings highlight the capability of Pro-CHASER in identifying cyber security risks in autonomous vehicles, which offers a practical and low-cost platform for threat simulation and evaluation.",2169-3536,,10.1109/ACCESS.2025.3544776,"Manipal Academy of Higher Education, Dr. T. M. A Pai Research Scholarship(grant numbers:220900133-2023); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10900368,Autonomous vehicles;controller area networks;cybersecurity;Internet of Things;Raspberry Pi;threat model,Security;Computer security;Autonomous vehicles;Automobiles;Threat modeling;Cameras;Automotive engineering;Vectors;Controller area networks;Temperature sensors,,1.0,,37.0,CCBY,2025-02-24,2025,,IEEE,IEEE Journals
