IsROS,IsCybersecurity,IsThreat,IsMitigation,Spoofing,Tampering,Repudiation,Information Disclosure,DoS,Elevation  of Privilege,Item Title,Abstract,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enhancing ROS 2 (robot operating system 2) security with standardized post-quantum cryptosystems,"The global race for quantum computers has sparked significant interest in the integration of quantum-secure cryptographic algorithms into traditional applications. However, relatively limited work has been done on adapting and assessing the utilization of Post Quantum (PQ) algorithms in industrial/robotics applications that run on constrained IoT devices. This work aims to fill this gap by fully integrating the communication middleware Data Distribution Service (DDS) of Robot Operating System (ROS) 2 with the recently standardized National Institute of Standards and Technology (NIST) PQ cryptographic algorithms. It also evaluates the performance of this PQ enhanced DDS on constrained devices (Raspberry Pi 5) using time-based and size-based metrics. The findings highlight the feasibility of using PQ algorithms, especially module lattice-based algorithms, by showing their competitive results with 128- and 256-bit classical cryptographic algorithms. Overall, this work represents a significant step towards future-proofing ROS 2 systems against quantum threats and offering insights into the impact of post-quantum cryptography on performance of resource constrained setups. In the long run, this could ease the transition to post-quantum cryptography and play a vital role in securing safety-critical systems such as energy, communications, transport, and power.",International Journal of Information Security,,,,10.1007/s10207-025-01133-w,Umair SafdarSana QadirM. Saqib Nazir,2025.0,https://link.springer.com/article/10.1007/s10207-025-01133-w,Article
True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exploring Security Vulnerabilities in Robot Operating System Communication Using Jetson Nano,"There has been a growing demand for robot operating system (ROS) in various domains, such as intelligent robotic systems, industrial automation, autonomous vehicles, and the Internet of Things (IoT) for smart control applications. Meanwhile, ROS presents several challenges in securing ROS communication networks when employed for different applications. This paper proposes simulating the Man-in-the-Middle (MITM) attack within a ROS-based communication network that is used with an IoT device like Jetson Nano. Messages between legitimate ROS nodes were intercepted, altered, and republished using a malicious node in the communication network. This research demonstrates the vulnerabilities in ROS networks, revealing how swiftly an attacker could compromise critical data. The impact of this attack on system behavior is assessed to emphasize the urgent need for enhanced security measures in ROS-based systems. Mitigation strategies are proposed to abate the cyber threats on ROS communication with IoT devices. The findings of this study serve as a foundation for future research to improve the security of ROS communication channels used in various domains.","Intelligent Control, Robotics, and Industrial Automation",,,,10.1007/978-981-95-2901-8_34,J. VanajakshiA. RenukaN. D. AdeshVidya Kamath,2026.0,https://link.springer.com/chapter/10.1007/978-981-95-2901-8_34,Conference paper
True,True,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,SlowROS: Investigating the&#xa0;Possibility to&#xa0;Perpetrate Slow DoS Attacks Against Robot Operating System,"Properly protecting industrial environments is a relevant activity in the network security field, due to the significant impact that potential cyberattacks may have. By exploiting the possibility of designing new threats targeting industrial networks, in this paper we present SlowROS, a novel Slow DoS Attack targeting the Robot Operating System, ROS. In our work, we validated the threat through the execution of dedicated test sets on a real network, composed of multiple interacting components. Obtained results show that the proposed attack leads to a denial of service against ROS components, making them unable to operate correctly. Indeed, although we did not directly targeted it, we also observed the attack impact on a typical ROS device and discussed how a production pipeline can be blocked by SlowROS. In addition, we found non-negligible peaks of data exchanged, thus we discussed how it is possible to optimize the threat and minimize its impact on the network in terms of network bandwidth needed by the attacker, by exploiting the potentially endless connection timeout of the targeted service.",Recent Advances in Communication Networks and Embedded Systems,,,,10.1007/978-3-031-92449-1_9,Enrico CambiasoLuca DuranteIvan Cibrario Bertolotti,2025.0,https://link.springer.com/chapter/10.1007/978-3-031-92449-1_9,Conference paper
True,True,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Improving Data Injection Attack Detection in Robotics Systems: A Comparative Study of Machine Learning Models,"In recent decades, significant technological advancements have improved the integration of robots into environments shared with humans. However, these systems rely on conventional computing platforms, making them vulnerable to cyber threats that affect such platforms. Additionally, they present unique security challenges that can jeopardize privacy and physical safety. In this context, a new generation of robotics software has emerged, with the Robot Operating System (ROS) being one of the most widely adopted by researchers and developers. Nevertheless, various studies have shown that ROS is prone to vulnerabilities that could compromise its security and reliability. The present work proposes an improved, lightweight model based on network traffic anomaly analysis, while also comparing its performance against three well-known machine learning models: Random Forest, Naive Bayes, and a Fully Connected Neural Network. The experimental results obtained in a simulated realistic environment demonstrate that the proposed SVM-based approach achieved an accuracy rate of approximately 92% in detecting such attacks. Furthermore, the SVM model was compared to other learning models, such as Neural Networks, which showed promising results with slightly higher precision and specificity than the SVM.","Journal of Control, Automation and Electrical Systems",,,,10.1007/s40313-026-01249-x,Rodrigo A. AntunesBruno L. DalmazoPaulo L. J. Drews-Jr,2026.0,https://link.springer.com/article/10.1007/s40313-026-01249-x,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cybersecurity in Robotics: Understanding Vulnerabilities and Countermeasures,"With the increasing adoption of robotic systems in various domains, ensuring their security has become a paramount concern. Robotic security attacks pose significant risks, including disruption of critical infrastructure, compromise of sensitive data, and threats to public safety. Understanding the landscape of these attacks, their associated risks, vulnerabilities, and issues, and developing effective countermeasures are crucial for safeguarding robotic systems and mitigating potential harms. This research paper investigates the landscape of robotic security by analyzing attacks, risks, vulnerabilities, issues, and countermeasures associated with these systems. The paper aims to provide a comprehensive understanding of the challenges faced in securing robotic systems and offers practical solutions to mitigate the risks. Furthermore, the paper outlines future research directions and highlights the importance of industry standards and regulations in establishing secure and trustworthy robotic systems.",Proceedings of International Conference on Recent Innovations in Computing,,,,10.1007/978-981-96-5969-2_32,Neha KoulArvind SelwalNeerendra KumarNarinder Verma,2026.0,https://link.springer.com/chapter/10.1007/978-981-96-5969-2_32,Conference paper
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"A systematic review on cybersecurity of robotic systems: vulnerabilities trends, threats, attacks, challenges, and proposed framework","Robotic systems are increasingly used in diverse applications such as healthcare, manufacturing, and critical infrastructure to automate day-to-day tasks. In this study, the existing state-of-the-art robotic system cybersecurity mechanisms are reviewed. Consequently, key aspects of the security mechanisms are highlighted. The study involves an analysis of applications in different domains, communication protocols, architecture, threats, and attacks associated with robotic systems. The systematic review of the existing work comprises inclusion and exclusion criteria, research protocol, initial search and keywords, searching, methodology diagram, research questions, and paper selection process. After analyzing the National Vulnerabilities Database, existing studies, and online resources, the resultant vulnerability trends are presented. The research asserts that cybersecurity measures including secure design, development, access control, and authentication are essential for robotic systems. Further, different machine learning, encryption, and blockchain-based mechanisms may be used to prevent or detect cyber-attacks in robotic systems. Based on comprehensive analysis, a cybersecurity framework is proposed to address the challenges effectively. The framework can be utilized to mitigate cybersecurity risks in robotic systems.",International Journal of Information Security,,,,10.1007/s10207-025-01041-z,Narinder VermaNeerendra KumarChaman VermaZoltán IllésDeep Singh,2025.0,https://link.springer.com/article/10.1007/s10207-025-01041-z,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cybersecurity Threats, Forensics, and Challenges","In today’s digital age, industry experts and researchers are steadily working toward the efficient use of ICT for human welfare. On the other hand, unknown threats and vulnerabilities in the cybersystem are exacerbating an extremely rapid increase in cyberattacks. This paper provides an overview of the emerging cybersecurity threats such as ransomware, zero-day attacks, and advanced persistent threats (APTs), along with countermeasures. It also gives a brief overview of the responsibilities of cyber forensics throughout the aftereffects of cyberattacks, along with widely known digital forensics tools and recent research challenges in cybersecurity and cybercrime scene investigation.","Intelligent Control, Robotics, and Industrial Automation",,,,10.1007/978-981-97-4650-7_21,Krishna KumarHardwari Lal Mandoria,2024.0,https://link.springer.com/chapter/10.1007/978-981-97-4650-7_21,Conference paper
True,True,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,A real-time intelligent intrusion detection framework for robotic system cybersecurity,"The rapid advancement of technology has led to the widespread adoption of robotic systems in critical domains such as healthcare, defense, and industrial automation. However, this increased connectivity introduces significant cybersecurity challenges, making robotic systems vulnerable to potential intrusions and cyberattacks. To address these concerns, this study proposes a novel Intrusion Detection System tailored for securing Internet-of-Things based robotic systems. The proposed framework is designed to detect malicious network traffic in real-time, ensuring secure communication and system integrity. The implementation involves real-time traffic monitoring and analysis using a newly developed dataset, ROSIDS23, along with the benchmark NSL-KDD and CICIDS2018 datasets. Experimental validation is conducted on a testbed comprising AlphaBot2 robotic platforms, Raspberry Pi, and a server machine, where captured network traffic is preprocessed and analyzed using machine learning-based classification techniques. The results demonstrate that the proposed framework effectively differentiates between normal and attack traffic, achieving a peak accuracy of 99.38%. These findings highlight the potential of the proposed IDS framework in enhancing the cybersecurity resilience of robotic systems against evolving cyber threats.",Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02175-6,Narinder VermaNeerendra KumarKhalid K. AlmuzainiAnurag SinhaSyed Abid Hussain,2025.0,https://link.springer.com/article/10.1007/s12083-025-02175-6,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adaptive cyber threat detection in internet of things environment using deep learning and metaheuristic optimization,"Internet of Things (IoT)–based systems are increasingly becoming targets of sophisticated cyber threats due to their critical roles in scientific computation, defense, and large-scale data processing. Traditional intrusion detection systems often struggle to recognise the complicated patterns in IoT traffic, which means we need stronger and more flexible cybersecurity solutions. Current methods, despite their advancements in anomaly detection, struggle to efficiently learn high-dimensional, heterogeneous, and sequential features in IoT environments. This study suggests a new cybersecurity system that combines Convolutional Neural Networks (CNNs) to identify spatial features, Gated Recurrent Units (GRUs) to detect time-based anomalies, and eXtreme Gradient Boosting (XGBoost) for the final classification. To further optimise detection performance, the Prairie Dog Optimisation (PDO) algorithm is employed for automated hyperparameter tuning. The CIC-IDS 2018 and LANL Cybersecurity Datasets were modified to simulate IoT-specific threat patterns, including synthetic events such as MPI abuse and unauthorised job execution. Feature extraction was enhanced using CNNs and Symbolic Aggregate Approximation (SAX) for time series compression. GRUs were selected over traditional RNNs to address long-term dependencies and reduce training complexity. The escalation of cyber threats targeting IoT systems necessitates the evolution of cybersecurity mechanisms beyond traditional approaches. Rule-based systems and static models fail to The proposed CNN-GRU-XGBoost framework, enhanced with Prairie Dog optimisation, achieved an F1 score of 99.1% and a detection latency of 0.52 s, outperforming all baseline models by a notable margin. These results show that the framework can provide very accurate and quick intrusion detection, which is crucial for real-time cybersecurity in IoT settings.",Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02130-5,CuiYing HanFaeiz M. AlserhaniTariq Ahamed AhangerNajah Kalifah AlmazmomiArshad Hashmi,2026.0,https://link.springer.com/article/10.1007/s12083-025-02130-5,Article
False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A cybersecurity method to detect SQL injection attacks using heuristic-driven feature selection and machine learning algorithms,"SQL injection is a serious security risk that allows attackers to access application databases. SQL injection attacks can be identified using various methods, including machine learning algorithms. Finding the top-performing features in the training dataset is a combinatorial optimization problem known to be NP-complete. Finding the dataset's most effective and significant features is the goal of feature selection. This study aims to optimize the sensitivity, specificity, and accuracy of the SQL injection detection method. The first stage of the suggested method involved creating a unique training dataset with 13 characteristics. A binary form of the Whale Optimization Algorithm was suggested to find the most effective features in the dataset. An effective SQL injection detection system was developed by combining the whale algorithm as a feature selector with various machine learning techniques. The suggested SQL injection detector achieved 98.88% accuracy, 99.35% sensitivity, and a 98.83% F1-score using an artificial neural network and the whale optimizer. Using the proposed strategy to select about 31% of the features improved the performance of the attack detectors.",The Journal of Supercomputing,,,,10.1007/s11227-025-08165-y,Bahman ArastehMohammadbagher KarimiHuseyin KusetogullariKeyvan ArastehFarzad Kiani,2025.0,https://link.springer.com/article/10.1007/s11227-025-08165-y,Article
